CUSTOMER_ID,propensity_score,Strategy
QY00796904,1.0349967e-05,Reminder
MZ00942990,1.0349967e-05,Reminder
AO00437888,1.0349967e-05,Reminder
AD00731463,1.0349967e-05,Reminder
FV00424062,1.0349967e-05,Reminder
QY00796904,1.0349967e-05,Reminder
MT00733607,1.0349967e-05,Reminder
WR00457653,1.0349967e-05,Reminder
KO00436812,1.0349967e-05,Reminder
WR00457653,1.0349967e-05,Reminder
MG00791994,1.0349967e-05,Reminder
MZ00942990,1.0349967e-05,Reminder
WA00454849,1.0349967e-05,Reminder
AO00437888,1.0349967e-05,Reminder
FV00424062,1.0349967e-05,Reminder
MT00733607,1.0349967e-05,Reminder
AG00476871,1.0349967e-05,Reminder
KA00830208,1.0349967e-05,Reminder
DC00437209,1.0349967e-05,Reminder
AD00731463,1.0349967e-05,Reminder
MG00791994,1.0349967e-05,Reminder
WA00454849,1.0349967e-05,Reminder
JR00437311,1.0349967e-05,Reminder
DC00437209,1.0349967e-05,Reminder
KO00436812,1.0349967e-05,Reminder
KA00830208,1.0349967e-05,Reminder
JR00437311,1.0349967e-05,Reminder
GT00442100,1.0349967e-05,Reminder
SY00362666,1.0417196e-05,Reminder
MX00673013,1.046126e-05,Reminder
UT00371026,1.0985546e-05,Reminder
LT00264587,1.1374928e-05,Reminder
XW00842634,1.1440615e-05,Reminder
LO00422057,1.1822684e-05,Reminder
FJ00297933,1.2101704e-05,Reminder
FJ00297933,1.2101704e-05,Reminder
DK00556450,1.2101704e-05,Reminder
DK00556450,1.2101704e-05,Reminder
VJ00370516,1.2385579e-05,Reminder
NH00654772,1.2497895e-05,Reminder
NV00901723,1.2561664e-05,Reminder
NV00901723,1.2561664e-05,Reminder
GO00428809,1.2642796e-05,Reminder
NV00543788,1.2878069e-05,Reminder
NV00543788,1.2878069e-05,Reminder
GO00420658,1.2912208e-05,Reminder
CO00650146,1.2954658e-05,Reminder
XZ00730294,1.3094534e-05,Reminder
PZ00690973,1.3196525e-05,Reminder
HF00660829,1.3255009e-05,Reminder
